data, valor
31/01/2003,4.4
28/02/2003,4.25
31/03/2003,4.08
30/04/2003,4.02
31/05/2003,4.03
30/06/2003,3.7
31/07/2003,3.78
31/08/2003,3.61
30/09/2003,3.6
31/10/2003,3.54
30/11/2003,3.52
31/12/2003,3.47
31/01/2004,3.59
29/02/2004,3.53
31/03/2004,3.5
30/04/2004,3.46
31/05/2004,3.5
30/06/2004,3.5
31/07/2004,3.49
31/08/2004,3.49
30/09/2004,3.49
31/10/2004,3.48
30/11/2004,3.45
31/12/2004,3.45
31/01/2005,3.42
28/02/2005,3.44
31/03/2005,3.43
30/04/2005,3.39
31/05/2005,3.36
30/06/2005,3.34
31/07/2005,3.3
31/08/2005,3.32
30/09/2005,3.31
31/10/2005,3.3
30/11/2005,3.43
31/12/2005,3.53
31/01/2006,3.59
28/02/2006,3.66
31/03/2006,3.71
30/04/2006,3.82
31/05/2006,3.9
30/06/2006,3.96
31/07/2006,3.94
31/08/2006,4.15
30/09/2006,4.22
31/10/2006,4.32
30/11/2006,4.38
31/12/2006,4.41
31/01/2007,4.39
28/02/2007,4.48
31/03/2007,4.52
30/04/2007,4.56
31/05/2007,4.65
30/06/2007,4.72
31/07/2007,4.74
31/08/2007,4.82
30/09/2007,5.07
31/10/2007,5.23
30/11/2007,5.21
31/12/2007,5.2
31/01/2008,5.27
29/02/2008,5.12
31/03/2008,5.05
30/04/2008,5.27
31/05/2008,5.45
30/06/2008,5.61
31/07/2008,5.65
31/08/2008,5.71
30/09/2008,5.76
31/10/2008,5.67
30/11/2008,5.72
31/12/2008,4.94
31/01/2009,4.13
28/02/2009,3.45
31/03/2009,3.07
30/04/2009,2.81
31/05/2009,2.65
30/06/2009,2.57
31/07/2009,2.54
31/08/2009,2.39
30/09/2009,2.32
31/10/2009,2.28
30/11/2009,2.26
31/12/2009,2.25
31/01/2010,2.17
28/02/2010,2.2
31/03/2010,2.23
30/04/2010,2.26
31/05/2010,2.31
30/06/2010,2.28
31/07/2010,2.36
31/08/2010,2.58
30/09/2010,2.68
31/10/2010,2.73
30/11/2010,2.84
31/12/2010,2.98
31/01/2011,2.94
28/02/2011,3.05
31/03/2011,3.21
30/04/2011,3.44
31/05/2011,3.6
30/06/2011,3.76
31/07/2011,3.92
31/08/2011,4.15
30/09/2011,4.2
31/10/2011,4.27
30/11/2011,4.37
31/12/2011,4.28
31/01/2012,4.68
29/02/2012,4.44
31/03/2012,4.21
30/04/2012,4.04
31/05/2012,3.99
30/06/2012,3.9
31/07/2012,3.75
31/08/2012,3.69
30/09/2012,3.62
31/10/2012,3.44
30/11/2012,3.41
31/12/2012,3.39
31/01/2013,3.28
28/02/2013,3.3
31/03/2013,3.31
30/04/2013,3.2
31/05/2013,3.22
30/06/2013,3.16
31/07/2013,3.2
31/08/2013,3.23
30/09/2013,3.14
31/10/2013,3.26
30/11/2013,3.3
31/12/2013,3.25
31/01/2014,3.29
28/02/2014,3.44
31/03/2014,3.39
30/04/2014,3.31
31/05/2014,3.27
30/06/2014,3.25
31/07/2014,3.08
31/08/2014,3.09
30/09/2014,3.13
31/10/2014,3.01
30/11/2014,3.01
31/12/2014,3
31/01/2015,2.78
28/02/2015,2.8
31/03/2015,2.73
30/04/2015,2.45
31/05/2015,2.41
30/06/2015,2.27
31/07/2015,2.25
31/08/2015,2.23
30/09/2015,2.23
31/10/2015,2.16
30/11/2015,2.13
31/12/2015,2.16
31/01/2016,2.05
29/02/2016,2.06
31/03/2016,2.05
30/04/2016,2.02
31/05/2016,1.99
30/06/2016,1.94
31/07/2016,1.94
31/08/2016,1.92
30/09/2016,1.87
31/10/2016,1.85
30/11/2016,1.82
31/12/2016,1.83
31/01/2017,1.78
28/02/2017,1.81
31/03/2017,1.77
30/04/2017,1.72
31/05/2017,1.68
30/06/2017,1.69
31/07/2017,1.59
31/08/2017,1.6
30/09/2017,1.56
31/10/2017,1.53
30/11/2017,1.54
31/12/2017,1.57
31/01/2018,1.44
28/02/2018,1.46
31/03/2018,1.5
30/04/2018,1.46
31/05/2018,1.41
30/06/2018,1.45
31/07/2018,1.35
31/08/2018,1.36
30/09/2018,1.36
31/10/2018,1.34
30/11/2018,1.36
31/12/2018,1.41
31/01/2019,1.40
28/02/2019,1.37
31/03/2019,1.36
30/04/2019,1.33
31/05/2019,1.31
30/06/2019,1.33
31/07/2019,1.26
31/08/2019,1.11
30/09/2019,1.00
31/10/2019,1.02
30/11/2019,1.05
31/12/2019,1.10
31/01/2020,1.07
29/02/2020,1.06
