,house_prices,tourism,gdp,C,I,earnings_single,earnings_couple,fbcf,construction,alojamento_local,golden_visas,juro,log_juro,log_alojamento_local,log_house_prices
2005,,1448034.5,99.9,99.9,100.6,10982.77,22682.36,100.6,102.0,1088,1,3.4800000000000018,1.2470322937863836,6.992096427415888,
2006,,1492206.4166666667,100.8,101.3,99.9,11996.8,24728.42,99.9,98.5,1184,1,3.395000000000001,1.2223037610106597,7.076653815443951,
2007,,1549430.0833333333,103.4,102.8,101.5,12059.7,24958.27,101.5,97.5,1282,1,4.071666666666668,1.4040524160415944,7.156176637480615,
2008,109.23,1554548.8333333333,105.3,105.7,104.6,12157.52,25185.27,104.6,93.6,2002,1,4.872500000000001,1.5836071523995792,7.601901959875166,4.693455750855452
2009,105.67,1542823.1666666667,100.7,102.7,94.6,12261.74,25470.83,94.6,84.9,3958,1,5.3400000000000025,1.675225652972104,8.28349412616251,4.660321030452939
2010,107.74,1597645.9166666667,102.6,105.1,92.9,12869.63,26616.25,92.9,81.7,5784,1,2.563333333333337,0.9413084948494443,8.6628507638386,4.6797209172523875
2011,105.45,1548222.4166666667,102.4,103.5,87.0,12435.4,25275.05,87.0,77.6,7564,1,2.5325000000000037,0.9292069571407029,8.931155429778348,4.658236906924784
2012,96.84,1478926.75,99.1,97.8,74.1,13158.03,26696.06,74.1,66.2,9516,2,3.9108333333333376,1.363750480018327,9.160729871422848,4.573060132069858
2013,92.45,1484123.8333333333,95.5,93.5,63.7,12806.65,26380.29,63.7,51.4,11985,494,3.7633333333333367,1.325305089493462,9.391411146868485,4.5266679578331335
2014,96.16,1620689.3333333333,96.5,96.0,64.1,12629.91,26026.83,64.1,48.0,16729,1526,3.2383333333333373,1.1750587941612949,9.72489901933128,4.566013470786897
2015,96.94,1715678.25,98.4,97.7,70.2,12467.22,26525.94,70.2,52.5,27883,766,3.146666666666672,1.1463436914893013,10.23577246310278,4.57409223041723
2016,103.67,1837910.9166666667,99.7,100.5,69.8,12807.39,26945.62,69.8,50.3,39304,1414,2.3225000000000056,0.8426441917058589,10.579081573848484,4.641212777335021
2017,111.89,1929263.4166666667,103.3,102.9,77.9,13051.15,27302.3,77.9,56.5,57723,1451,1.9225000000000059,0.653626422397665,10.963410986589126,4.717516245819629
2018,125.58,2046272.6666666667,106.0,105.2,82.8,13469.59,28139.19,82.8,59.2,81054,1409,1.6250000000000056,0.4855078157817042,11.302870878197737,4.832943005685963
2019,137.14,2158722.0833333335,108.6,107.9,91.5,,,91.5,66.5,92045,1245,1.4050000000000056,0.34003730278571304,11.430032866880662,4.921002301856218
